t_mean,flux_bgsub
992634427.3156819,4.1370698336609756e-16
992634436.5582255,6.662900939686701e-16
992634444.0520002,4.903296723859768e-16
992634456.1072918,5.243831401632639e-16
992634465.9624075,5.964190814266565e-16
992634476.3186206,6.387629685546015e-16
992634487.3611362,4.318163258313197e-16
992634496.4412501,7.224526625541298e-16
995915778.6457692,2.2669383627119663e-16
995915785.6036665,2.289006049536253e-16
995915796.755,3.1170911674437297e-16
995915805.2755555,2.3542278551351934e-16
995915817.5414999,4.0791862065189176e-16
995915826.8253334,3.703475913729207e-16
995915837.4857894,4.622251929266584e-16
995915847.3659999,2.0493628343583002e-16
995915857.1184784,5.826835642355524e-16
995915867.8257142,1.1366256705420074e-16
995915878.5611764,5.040608698393535e-16
995915887.6843334,2.87439496167737e-16
995915898.0277778,1.532526781727852e-16
995915906.1953332,2.829048799639022e-16
995915918.0258332,-1.5635886996629974e-17
995915927.3075001,1.0893369642467949e-16
995915937.47375,3.751222365137633e-16
995915946.5282142,1.9890817460708881e-16
995915957.6208333,4.3168454233401397e-16
995915966.4575001,1.1522674092962011e-16
995915976.7790625,3.411973272451937e-16
995915986.4072728,5.60054921260033e-16
995915996.9811537,1.2802519879452038e-16
995916006.7445835,2.6137691235935945e-16
995916016.5947728,5.010138847300072e-16
995916026.0120456,5.151672715668e-16
995916036.2440001,3.0984730341276195e-16
995916047.8979168,1.6928109965811588e-16
995916056.9973685,4.846453401509654e-16
995916066.3345833,9.644105866691081e-17
995916075.0838462,1.4760401876543923e-16
995916088.3003333,3.2838102936079033e-16
995916096.4261539,4.160644958911266e-16
995916108.3988236,4.557250870683702e-16
995916118.1538463,5.562528569030373e-16
995916128.1620001,9.9372846004786e-17
995916137.5483333,4.0484344451720436e-16
995916146.1990908,1.6596757469382596e-16
995916157.0638463,2.0411842473329174e-16
995916166.787647,3.6974724897502415e-16
995916176.9128125,3.2179815904846795e-16
995916186.1850002,2.9670310833249103e-16
995916196.415,1.918390881178604e-16
995916204.0475,3.9981178650319177e-16
995916217.1781249,1.8964356211365734e-17
995916226.495,7.563414846364589e-16
995916238.395625,2.1724421277278582e-16
995916247.3275001,7.750529827542976e-17
995916257.3069444,4.468315217903741e-16
995916265.2291666,1.313771453234721e-16
995916276.952647,3.5151023730299064e-16
995916287.2077776,1.5234265980494166e-16
995916297.2709374,3.613120346683911e-16
995916307.5985,7.032318856671889e-18
995916320.665,-4.695551300857282e-17
995916326.977381,4.50044155532953e-16
995916336.367857,2.0134955737969527e-16
995916346.2950001,4.365879507888229e-16
995916356.0205,4.865876415725674e-16
995916366.805625,2.9245482380676645e-16
995916376.578421,5.569577132345577e-16
995916385.889375,8.696361436305624e-17
995916397.7507143,5.088746721489712e-16
995916406.8035715,2.576205377212506e-16
995916418.966,3.641007152448766e-16
995916426.8595455,1.541953160100876e-16
995916437.4365386,1.4115970943235627e-16
995916446.5927778,3.6652120845107335e-16
995916456.6325,6.199497440608472e-16
995916466.7682143,3.794575870110116e-16
995916475.7028571,7.038939826884962e-16
995916488.4257143,1.0807760429157813e-16
995916496.8838462,1.169837434072639e-16
995916506.0358335,2.529477578080261e-16
995916518.7465,2.1359726116222094e-16
995916526.4468182,2.121059337164685e-16
